Number of parameters in output net: 72
Number of parameters in hypernet: 646
Number of training points: 1280
Number of test points: 320
Epoch 4800 | Time 0.152 (0.177) | NFE-F 38.2 | NFE-B 100.8 | Test Acc 0.8781 | Train Acc 0.9195
Epoch 4900 | Time 0.182 (0.176) | NFE-F 38.1 | NFE-B 100.1 | Test Acc 0.8812 | Train Acc 0.9227
Epoch 5000 | Time 0.179 (0.171) | NFE-F 38.0 | NFE-B 97.3 | Test Acc 0.8906 | Train Acc 0.9187
Epoch 5100 | Time 0.246 (0.241) | NFE-F 38.0 | NFE-B 94.7 | Test Acc 0.8750 | Train Acc 0.9180
Epoch 5200 | Time 0.165 (0.177) | NFE-F 38.0 | NFE-B 100.0 | Test Acc 0.8656 | Train Acc 0.9047
Epoch 5300 | Time 0.215 (0.186) | NFE-F 38.2 | NFE-B 106.0 | Test Acc 0.8719 | Train Acc 0.9070
Epoch 5400 | Time 0.132 (0.185) | NFE-F 38.2 | NFE-B 105.8 | Test Acc 0.8594 | Train Acc 0.9070
Epoch 5500 | Time 0.183 (0.191) | NFE-F 38.1 | NFE-B 109.1 | Test Acc 0.8719 | Train Acc 0.9125
Epoch 5600 | Time 0.162 (0.192) | NFE-F 38.4 | NFE-B 109.8 | Test Acc 0.8688 | Train Acc 0.9109
Epoch 5700 | Time 0.155 (0.188) | NFE-F 38.2 | NFE-B 107.8 | Test Acc 0.8781 | Train Acc 0.9203
Epoch 5800 | Time 0.181 (0.189) | NFE-F 38.5 | NFE-B 107.8 | Test Acc 0.8719 | Train Acc 0.9242
Epoch 5900 | Time 0.193 (0.191) | NFE-F 38.2 | NFE-B 108.7 | Test Acc 0.8812 | Train Acc 0.9133
Epoch 6000 | Time 0.138 (0.190) | NFE-F 38.3 | NFE-B 108.3 | Test Acc 0.8625 | Train Acc 0.9227
Epoch 6100 | Time 0.164 (0.191) | NFE-F 38.4 | NFE-B 108.9 | Test Acc 0.8594 | Train Acc 0.9164
Epoch 6200 | Time 0.154 (0.193) | NFE-F 39.9 | NFE-B 110.2 | Test Acc 0.8844 | Train Acc 0.9094
Epoch 6300 | Time 0.172 (0.194) | NFE-F 40.3 | NFE-B 110.5 | Test Acc 0.8594 | Train Acc 0.9070
Epoch 6400 | Time 0.243 (0.196) | NFE-F 41.4 | NFE-B 111.6 | Test Acc 0.9000 | Train Acc 0.9047
Epoch 6500 | Time 0.217 (0.197) | NFE-F 41.8 | NFE-B 112.0 | Test Acc 0.8938 | Train Acc 0.9164
Epoch 6600 | Time 0.204 (0.198) | NFE-F 41.8 | NFE-B 113.0 | Test Acc 0.8844 | Train Acc 0.9102
Epoch 6700 | Time 0.177 (0.198) | NFE-F 42.1 | NFE-B 112.0 | Test Acc 0.8844 | Train Acc 0.9039
Epoch 6800 | Time 0.166 (0.196) | NFE-F 41.5 | NFE-B 111.9 | Test Acc 0.8688 | Train Acc 0.9172
Epoch 6900 | Time 0.231 (0.197) | NFE-F 39.7 | NFE-B 113.1 | Test Acc 0.8969 | Train Acc 0.9203
Epoch 7000 | Time 0.212 (0.198) | NFE-F 40.3 | NFE-B 113.3 | Test Acc 0.8844 | Train Acc 0.9172
Epoch 7100 | Time 0.245 (0.210) | NFE-F 41.5 | NFE-B 121.4 | Test Acc 0.8812 | Train Acc 0.9195
Epoch 7200 | Time 0.230 (0.212) | NFE-F 41.5 | NFE-B 122.8 | Test Acc 0.8688 | Train Acc 0.9133
Epoch 7300 | Time 0.241 (0.216) | NFE-F 43.5 | NFE-B 125.4 | Test Acc 0.8594 | Train Acc 0.9133
Epoch 7400 | Time 0.203 (0.212) | NFE-F 44.3 | NFE-B 122.2 | Test Acc 0.8625 | Train Acc 0.9141
Epoch 7500 | Time 0.218 (0.217) | NFE-F 44.3 | NFE-B 125.4 | Test Acc 0.8656 | Train Acc 0.9062
Epoch 7600 | Time 0.247 (0.225) | NFE-F 43.4 | NFE-B 130.7 | Test Acc 0.8781 | Train Acc 0.9180
Epoch 7700 | Time 0.185 (0.285) | NFE-F 43.7 | NFE-B 133.8 | Test Acc 0.8656 | Train Acc 0.9070
Epoch 7800 | Time 0.170 (0.253) | NFE-F 42.7 | NFE-B 134.5 | Test Acc 0.8844 | Train Acc 0.9094
Epoch 7900 | Time 0.218 (0.227) | NFE-F 43.8 | NFE-B 134.4 | Test Acc 0.8531 | Train Acc 0.9086
Epoch 8000 | Time 0.197 (0.242) | NFE-F 44.4 | NFE-B 144.3 | Test Acc 0.8625 | Train Acc 0.9070
Epoch 8100 | Time 0.271 (0.235) | NFE-F 44.8 | NFE-B 139.3 | Test Acc 0.8625 | Train Acc 0.9062
Epoch 8200 | Time 0.328 (0.242) | NFE-F 46.4 | NFE-B 143.6 | Test Acc 0.8656 | Train Acc 0.9070
Epoch 8300 | Time 0.225 (0.232) | NFE-F 46.4 | NFE-B 136.2 | Test Acc 0.8781 | Train Acc 0.9102
Epoch 8400 | Time 0.257 (0.236) | NFE-F 45.2 | NFE-B 139.5 | Test Acc 0.8562 | Train Acc 0.8961
Epoch 8500 | Time 0.287 (0.228) | NFE-F 42.8 | NFE-B 134.4 | Test Acc 0.8406 | Train Acc 0.9008
Epoch 8600 | Time 0.222 (0.219) | NFE-F 43.7 | NFE-B 128.6 | Test Acc 0.8688 | Train Acc 0.9117
Epoch 8700 | Time 0.204 (0.227) | NFE-F 40.2 | NFE-B 134.8 | Test Acc 0.8750 | Train Acc 0.9047
Epoch 8800 | Time 0.180 (0.218) | NFE-F 40.7 | NFE-B 128.3 | Test Acc 0.8875 | Train Acc 0.9180
